epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.674,0.50625,4.27883,1.19494,0.36425,0.54459,0.4483,0.44496,0.17454,3.71036,0.45827,0.00022491,0.00022491,0.00022491
2,268.402,0.1841,1.89855,0.86004,0.69318,0.59493,0.7023,0.66525,0.22843,3.56616,0.44702,0.000412793,0.000412793,0.000412793
3,406.66,0.19326,1.37557,0.87815,0.73819,0.75542,0.78537,0.76891,0.21145,1.80347,0.44364,0.000554495,0.000554495,0.000554495
4,575.69,0.21483,1.12739,0.8739,0.89313,0.65549,0.89359,0.87962,0.24519,1.1636,0.47285,0.000585599,0.000585599,0.000585599
5,684.366,0.1847,1.05546,0.85894,0.80515,0.89309,0.9012,0.88531,0.28769,1.08007,0.49901,0.000503132,0.000503132,0.000503132
6,732.024,0.17272,0.86463,0.86507,0.83293,0.91321,0.96399,0.93549,0.29142,0.81665,0.51303,0.000420665,0.000420665,0.000420665
7,780.103,0.16049,0.68623,0.8441,0.90342,0.93587,0.97196,0.94913,0.263,0.61238,0.51679,0.000338198,0.000338198,0.000338198
8,828.986,0.14866,0.65978,0.84888,0.92954,0.97131,0.98878,0.98095,0.2397,0.53125,0.48181,0.000255731,0.000255731,0.000255731
9,879.031,0.1319,0.56503,0.84721,0.91956,0.97012,0.99052,0.98929,0.22968,0.47446,0.476,0.000173264,0.000173264,0.000173264
10,933.219,0.12698,0.50077,0.8377,0.91321,0.9874,0.99052,0.98979,0.20819,0.45536,0.47219,9.0797e-05,9.0797e-05,9.0797e-05
